brand_name,display_brand_name,brand_id
Arma,Armani Jeans,2
MA+,Armani Jeans,2
RM,Armani Jeans,2
J,Armani Jeans,2
ARMA,Armani Jeans,2
Armani Jeans,Armani Jeans,2
Jeans,Armani Jeans,2
MANI,Armani Jeans,2
m.a+,Armani Jeans,2
Hysteric,Hysterics,31
Y's,Hysterics,31
MOS,Love Moschino,39
Love Moschino,Love Moschino,39
Mykita + Maison Martin Margiela,Maison Martin Margiela,40
MAI,Maison Martin Margiela,40
MM6 by Maison Martin Margiela,Maison Martin Margiela,40
Maison Martin Margiela,Maison Martin Margiela,40
Ela,Maison Martin Margiela,40
Margi,Maison Martin Margiela,40
Martí,Maison Martin Margiela,40
Martin,Maison Martin Margiela,40
MM6,MM6 Maison Margiela,43
MM6 Maison Margiela,MM6 Maison Margiela,43
mm6,MM6 Maison Margiela,43
Akè,Pleats Please Issey Miyake,52
PLEATS PLEASE Issey Miyake,Pleats Please Issey Miyake,52
Pleats Please,Pleats Please Issey Miyake,52
Pleats Please Issey Miyake,Pleats Please Issey Miyake,52
PLEASE,Pleats Please Issey Miyake,52
SAINT LAURENT,Saint Laurent,58
Aure,Saint Laurent,58
Saint Laurent,Saint Laurent,58
Ren,Saint Laurent,58
Saint Laurent Paris,Saint Laurent,58
IVI,Anglomania,66
Mania,Anglomania,66
Vivienne Westwood Anglomania,Anglomania,66
NIA,Anglomania,66
20471120,20471120,88
711,20471120,88
1017 ALYX 9SM,1017 ALYX 9SM,103
1017 Alyx 9SM,1017 ALYX 9SM,103
A-COLD-WALL,A-COLD-WALL*,174
A-COLD-WALL*,A-COLD-WALL*,174
A-Cold-Wall,A-COLD-WALL*,174
A-Cold-Wall*,A-COLD-WALL*,174
ACNE,Acne Studios,218
Acne Studios,Acne Studios,218
Acne,Acne Studios,218
Acne Studios Blå Konst,Acne Studios,218
Kathleen Madden,Add,238
Ritz Saddler,Add,238
Thaddeus O'Neil,Add,238
The Saddler,Add,238
Agnes Baddoo,Add,238
Amina Muaddi,Add,238
Damson Madder,Add,238
Steven by Steve Madden,Add,238
Style Addict,Add,238
Thakoon Addition,Add,238
ADD,Add,238
Add,Add,238
Addison Bay,Add,238
Ambra Maddalena,Add,238
ADDICT CLOTHES,Add,238
Giulia Taddeucci,Add,238
Double J Saddelry,Add,238
MARY MCFADDEN,Add,238
Madden Girl,Add,238
Mary McFadden,Add,238
Maddalena Marconi,Add,238
Saddler,Add,238
ADIDAS BY STELLA MCCARTNEY,adidas,244
Adidas & Rick owens,adidas,244
Adidas Slvr,adidas,244
Y-3 Adidas Vintage,adidas,244
adidas by Stella McCartney,adidas,244
adidas Consortium,adidas,244
Adidas Consortium,adidas,244
Adidas,adidas,244
adidas Originals by Ji Won Choi,adidas,244
adidas,adidas,244
adidas Original,adidas,244
Adolfo Dominguez,Adolfo Dominguez,250
MING,Adolfo Dominguez,250
Adolfo,Adolfo Dominguez,250
Domi,Adolfo Dominguez,250
Agnès B.,Agnes B,281
Agnes B.,Agnes B,281
Sport B. by agnès B.,Agnes B,281
Aigner Vintage,Aigner,289
Aigner Kids,Aigner,289
Aigner,Aigner,289
aim,Aime Leon Dore,290
AIME LEON DORE,Aime Leon Dore,290
Aime Leon Dore,Aime Leon Dore,290
Aimé Leon Dore,Aime Leon Dore,290
Aime,Aime Leon Dore,290
Leo,Aime Leon Dore,290
Alberta Ferretti,Alberta Ferretti,319
Philosophy Di Alberta Ferretti,Alberta Ferretti,319
Philosophy Di Alberta Ferretti Vintage,Alberta Ferretti,319
Philosophy di Alberta Ferretti,Alberta Ferretti,319
Alberta Ferretti Vintage,Alberta Ferretti,319
ALBERTA FERRETTI,Alberta Ferretti,319
Berta,Alberta Ferretti,319
ALDO,Aldo,329
Aldo,Aldo,329
Aldo Martins,Aldo,329
Ilio Smeraldo,Aldo,329
Montaldo's,Aldo,329
ALDOMARIACAMILLO,Aldo,329
ARNALDO TOSCANI,Aldo,329
Aldo Castagna,Aldo,329
ALDO MARTINS,Aldo,329
Aldo Tramontano,Aldo,329
illo smeraldo,Aldo,329
ALEXANDER MCQUEEN,Alexander McQueen,345
Alexander McQueen For P,Alexander McQueen,345
Alexander McQueen,Alexander McQueen,345
Alexander Mcqueen,Alexander McQueen,345
Alexander Wang,Alexander Wang,347
DUNHILL,Alfred Dunhill,354
Fred,Alfred Dunhill,354
Alfred Dunhill,Alfred Dunhill,354
Dunhill,Alfred Dunhill,354
Alice & Olivia,Alice Olivia,357
Olivia,Alice Olivia,357
alice + olivia,Alice Olivia,357
Alice + Olivia,Alice Olivia,357
ALICE + OLIVIA,Alice Olivia,357
Livia,Alice Olivia,357
Allsaints,Allsaints,370
1 CLASSE Alviero Martini,Alviero Martini,395
Alviero Martini,Alviero Martini,395
ALVIERO MARTINI,Alviero Martini,395
ALYX Visual,Alyx,396
Alyx,Alyx,396
Amambaih,Amb,400
Amber Sakai,Amb,400
Amber Sceats,Amb,400
Ambra Castello,Amb,400
Ambre Et Babzoe,Amb,400
Ambush,Amb,400
Ashley Stambouli,Amb,400
Bill Amberg,Amb,400
Cambridge Members,Amb,400
Edouard Rambaud,Amb,400
Giamba,Amb,400
Kathryn Amberleigh,Amb,400
LAMBERTO LOSANI,Amb,400
Larry Sands for Shamballa,Amb,400
Norman Ambrose,Amb,400
Rambaud,Amb,400
Stambolian,Amb,400
TAMBONITA,Amb,400
The Cambridge Satchel Company,Amb,400
AMBER SAKAI,Amb,400
Ambition New York,Amb,400
Automobili Lamborghini,Amb,400
BAMBAH,Amb,400
Bambah,Amb,400
Cambio,Amb,400
EDOUARD RAMBAUD,Amb,400
L.A.M.B,Amb,400
Lambertine,Amb,400
Lamberto Losani,Amb,400
Lambertson Truex,Amb,400
Marco Rambaldi,Amb,400
Nambé,Amb,400
Paige Gamble,Amb,400
Panambi,Amb,400
Sambar,Amb,400
Shwetambari,Amb,400
Syndical Chamber,Amb,400
The Cambridge Collection,Amb,400
Val Saint Lambert,Amb,400
Ambleme,Amb,400
Ambre Babzoe,Amb,400
Ambre & Louise,Amb,400
Béatrice Amblard,Amb,400
Bamba Swim,Amb,400
Bamberger's New Jersey Fur,Amb,400
Chambre de fan,Amb,400
Chamberlan,Amb,400
Dora Haralambaki,Amb,400
Giambattista Valli Vintage,Amb,400
Karen Zambos,Amb,400
Lambert,Amb,400
Comme des Garçons Robe de Chambre,Amb,400
Scrambled Ego,Amb,400
L.A.M.B.,Amb,400
William Chambers Millinery,Amb,400
Natasha Stambouli,Amb,400
Shamballa,Amb,400
Shamballa Jewels,Amb,400
American Vintage,American Vintage,420
ARAMINTA JAMES,Ami,421
Amiss Conception,Ami,421
Beltrami,Ami,421
Benjamin Jezequel,Ami,421
Benjamin Walk,Ami,421
Camille Enrico,Ami,421
Damiani,Ami,421
Family First,Ami,421
Heath Ceramics,Ami,421
Jamie Haller,Ami,421
Jamie Joseph,Ami,421
Jamie London,Ami,421
Karmamia,Ami,421
Katherine Hamilton,Ami,421
NAMILIA,Ami,421
Nalebe By Amina Means,Ami,421
NaraCamicie,Ami,421
Neirami,Ami,421
Paige Jessamine,Ami,421
Scheurich Keramik,Ami,421
Still Life Ceramics,Ami,421
AMI AMALIA,Ami,421
Aamiaa,Ami,421
Album di Famiglia,Ami,421
Ami Muse Studio,Ami,421
Amir,Ami,421
Amish Boyish,Ami,421
Amiya,Ami,421
CAMILA COELHO,Ami,421
Camicissima,Ami,421
Camila Mesar,Ami,421
Camilla And Marc,Ami,421
Camilla Pihl,Ami,421
Camille,Ami,421
Daniel Benjamin,Ami,421
Flamingo Estate,Ami,421
Flamingos,Ami,421
GEARY ROARK KAMISATO,Ami,421
Jamie Wei Huang,Ami,421
Kaminski,Ami,421
Meilleur Ami,Ami,421
Milla By Camilla,Ami,421
Pala Ceramics,Ami,421
Piamita,Ami,421
Pure Amici,Ami,421
Rahaminov Diamonds,Ami,421
Tatami by Birkenstock,Ami,421
Vitamin A,Ami,421
câbleami,Ami,421
3.1 Phillip Lim for Tatami,Ami,421
A.M.I.,Ami,421
AMI,Ami,421
Ami,Ami,421
Ami Amalia,Ami,421
Amiacalva,Ami,421
AMINA RUBINACCI,Ami,421
Album Di Famiglia,Ami,421
Amina Rubinacci,Ami,421
Amine,Ami,421
Amitié,Ami,421
Andre 3000 Benjamin,Ami,421
Benjamin Benmoyal,Ami,421
CAMI NYC,Ami,421
Cami NYC,Ami,421
Camila Coelho,Ami,421
Camila Klein,Ami,421
Camila Sarmiento,Ami,421
Camille De Dampierre,Ami,421
Camille La Vie,Ami,421
Camille Rowe,Ami,421
Amicale,Ami,421
Aminah Abdul Jillil,Ami,421
Atelier Camille,Ami,421
Benjamin,Ami,421
Bliss by Damiani,Ami,421
Camila Coehlo,Ami,421
Camilla Cappelli,Ami,421
Camilla Skovgaard,Ami,421
Camilla and Marc,Ami,421
Camille Fournet,Ami,421
Camilyn Beth,Ami,421
Flamingos Life,Ami,421
Flaminia Veronesi,Ami,421
Hamilton Watch,Ami,421
Helen Kaminski,Ami,421
Jamin Puech,Ami,421
Lewis Hamilton,Ami,421
Entre Amis,Ami,421
MAIAMI,Ami,421
Maiami Berlin,Ami,421
Maria Elena Villamil,Ami,421
Miahatami,Ami,421
Samira 13,Ami,421
Silent Damir Doma,Ami,421
Simone Camille,Ami,421
Francesco Scognamiglio,Ami,421
Jamie Wolf,Ami,421
Valverde del Camino,Ami,421
Luli fama Miami,Ami,421
Yasmine Eslami,Ami,421
dynamite,Ami,421
Maestrami,Ami,421
Maiami,Ami,421
Namilia,Ami,421
PARAMIDONNA,Ami,421
Ron Hami,Ami,421
Sami Miro Vintage,Ami,421
Samii Ryan,Ami,421
Tammy And Benjamin,Ami,421
UMAMIISM OYSTERS,Ami,421
Être Amis,Ami,421
AMPERSAND AS APOSTROPHE,Amp,427
Campo Marzio,Amp,427
Giampaolo,Amp,427
Giampaolo Viozzi,Amp,427
HIGH by Claire Campbell,Amp,427
Rampage,Amp,427
Ampersand Heart,Amp,427
CAMPLIN,Amp,427
CAMPOMAGGI,Amp,427
Campana Brothers,Amp,427
Campo Collection,Amp,427
Carla Zampatti,Amp,427
Carmina Campus,Amp,427
Yakampot,Amp,427
Champion Boot Co.,Amp,427
Claire Campbell,Amp,427
Duchamp,Amp,427
Dunton Ellerkamp,Amp,427
Ippocampo,Amp,427
Kampos,Amp,427
Lisa Des Camps,Amp,427
MCL by Matthew Campbell Laurenza,Amp,427
Meta Campania Collective,Amp,427
Mischa Lampert,Amp,427
SCAMP AND DUDE,Amp,427
Scampi swimwear,Amp,427
Scott Campbell,Amp,427
Stuart Lamprell,Amp,427
Aisling Camps,Amp,427
Ampersand As Apostrophe,Amp,427
Campanas,Amp,427
Campomaggi,Amp,427
Campbell's Of Beauly,Amp,427
Fernando And Humberto Campana,Amp,427
HAMPUI HATS,Amp,427
Kamperett,Amp,427
Christina Brampti,Amp,427
Crown Northampton,Amp,427
Matthew Campbell Laurenza,Amp,427
Nick Campbell,Amp,427
House of Campbell,Amp,427
JUST CAMPAGNE,Amp,427
Just Champagne,Amp,427
Lamperos Atelier,Amp,427
Laurel Lamp Company,Amp,427
Melampo,Amp,427
Pampelone,Amp,427
Sara Campbell,Amp,427
Schlampp's,Amp,427
The Vampire's Wife,Amp,427
ampm,Amp,427
Àcheval Pampa,Amp,427
AND WANDER,and Wander,438
And Wander,and Wander,438
and Wander,and Wander,438
St. John,Andrew St John,457
St John,Andrew St John,457
Ann Demeulemeester,Ann Demeulemeester,475
ANNA SUI,Anna Sui,476
Anna Sui for Anthropologie,Anna Sui,476
Anna Sui Vintage,Anna Sui,476
ANNA,Anna Sui,476
Anna,Anna Sui,476
Anna Sui,Anna Sui,476
Sui by Anna Sui,Anna Sui,476
Anthropologie,Anthropologie,490
Alessia Santi,Anti,491
Antipast,Anti,491
Antipodium,Anti,491
Avanti,Anti,491
Bruno Amaranti,Anti,491
Causse Gantier,Anti,491
Duran Lantink,Anti,491
Greta Constantine,Anti,491
KONSTANTINO,Anti,491
Les Enfantines,Anti,491
Margarita Mercantile,Anti,491
Nostrasantissima,Anti,491
Santi,Anti,491
Santicler,Anti,491
Ter Et Bantine,Anti,491
Due Amanti,Anti,491
Elisa Fanti,Anti,491
Fausto Santini,Anti,491
Heimat Atlantica,Anti,491
Joanna Laura Constantine,Anti,491
Patrizia Bonfanti,Anti,491
Sergio Amaranti,Anti,491
ATLANTIC - PACIFIC,Anti,491
Anti SocialSocial Club,Anti,491
Anti-Flirt,Anti,491
Atlantic Pacific,Anti,491
Atlantic Stars,Anti,491
Caban Romantic,Anti,491
Atlantique Ascoli,Anti,491
D-Antidote,Anti,491
Elephantito,Anti,491
Frantic,Anti,491
Gaelle Constantini,Anti,491
Gigi Ferranti,Anti,491
Konstantin Starke,Anti,491
Konstantino,Anti,491
Dead Atlantic,Anti,491
Diamantini E Domeniconi,Anti,491
Materia Prima By Goffredo Fantini,Anti,491
Mercantia,Anti,491
Modern Romantique,Anti,491
Santiago Gonzalez,Anti,491
Santiags,Anti,491
Ter et Bantine,Anti,491
Guanti Giglio Fiorentino,Anti,491
Icelantic,Anti,491
KANTIS,Anti,491
Marco Santi,Anti,491
Natalie Constantinidou,Anti,491
Nello Santi,Anti,491
Paolo Santini,Anti,491
Parlanti,Anti,491
Rosantica,Anti,491
Santini,Anti,491
Santinni,Anti,491
Stephanie Kantis,Anti,491
TARINA TARANTINO,Anti,491
Violanti,Anti,491
Anti Social Social Club,Anti Social Social Club,493
Anya Hindmarch,Anya Hindmarch,510
Apples & Figs,Apple,521
Apple,Apple,521
Robert Mapplethorpe,Apple,521
Aquascutum,Aquascutum,527
ANCUTA SARCA,Arc,535
Alessandra Marchi,Arc,535
Alice Archer,Arc,535
Ancuta Sarca,Arc,535
Arc,Arc,535
Archival Reinvent,Arc,535
Arctic Army,Arc,535
Arnoldo Marcella,Arc,535
Bellville Sassoon Lorcan Mullany for Neiman Marcus,Arc,535
CARMEN CARMEN MARC VALVO,Arc,535
Comme de Garcons,Arc,535
Etnia Barcelona,Arc,535
Fernando Garcia,Arc,535
Gianmarco Lorenzi,Arc,535
Gigi Barcelona,Arc,535
ISABEL GUARCH,Arc,535
Isabel Garcia,Arc,535
Jeanne Marc,Arc,535
Judith March,Arc,535
KARL  MARC JOHN,Arc,535
Karu Research,Arc,535
LITTLE MARCEL,Arc,535
Les Bourdelles des Garçons,Arc,535
Little Marc Jacobs,Arc,535
MISS GARCIA,Arc,535
Madison Marcus,Arc,535
Marc Deloche,Arc,535
Marc Ellis,Arc,535
Marcantoni,Arc,535
Marcel Ostertag,Arc,535
March 11,Arc,535
March Ii,Arc,535
Marco Baldassari,Arc,535
Marco Bicego,Arc,535
Marco Vanoli,Arc,535
Marcos Luengo,Arc,535
Merchant Archive,Arc,535
PURIFICACION GARCIA,Arc,535
Paloma Barceló,Arc,535
Pedro Garcia for Raquel Allegra,Arc,535
Queens of Archive,Arc,535
Queens of archive,Arc,535
Sans Arcidet Paris,Arc,535
The Archivia,Arc,535
ANNOTHER [ARCHIVE],Arc,535
ARCAA,Arc,535
ARCHIBALD LONDON,Arc,535
Another Archive,Arc,535
